,SEC_INT,P1,P2$01,P4,DEPTO_MUNI,P7_NO_PERNOC,P7_SI_PERNOC,P9_#EXCURSION,DEP_MUN_LUG,P11_MOTIVO_EXCURSION,P13_GASTO_EXCURSION,P14_#PER_EXCURSION,P16_#EXCUR_CONPERNOC,SUMA_PUNTOS,EDAD,PROFESION,OCUPACION,GENERO,VIA_VIAJE,P18_#NOCHES1,P19_#PERSON1,P20_MOTIVO_1,P21_ALOJ_1,P22_PER_GAS_1,P24_VIAJE_ORG,P26_TRASPORTE,P27_DG_SUMA,P17_DESTINO1
1241,18010023,Si,Semana Santa,"Sí, es de familiares o amigos",ZACAPA_ZACAPA,3.0,2.0,1.0,ZACAPA_RIO HONDO_VALLE DORADO,"Ocio, recreo y/o vacaciones",1500.0,5.0,1.0,12,23,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1243,18010023,Si,Semana Santa,"Sí, es de su propiedad",PETEN_FLORES,3.0,4.0,2.0,IZABAL_MORALES_MARISCOS,"Ocio, recreo y/o vacaciones",200.0,3.0,1.0,17,35,ABOGADO Y NOTARIO,AUXILIAR FISCAL,Masculino,Sí,2.0,5.0,Visita a familiares y/o amigos,Casa de amigos o familiares,5.0,Por su cuenta,Vehículo,750.0,CHIQUIMULA_CHIQUIMULA_VISITA FAMILIARES
1244,18010023,Si,Semana Santa,"Sí, es de su propiedad",PETEN_FLORES,3.0,4.0,2.0,IZABAL_MORALES_MARISCOS,"Ocio, recreo y/o vacaciones",200.0,3.0,1.0,17,35,ABOGADO Y NOTARIO,AUXILIAR FISCAL,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1246,18010023,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,9,48,AMA DE CASA,AMA DE CASA,Femenino,Sí,3.0,4.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,4.0,Por su cuenta,Bus regional,900.0,IZABAL_LIVINGSTON_RIO DULCE
1247,18010023,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,9,48,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1249,18010023,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,8.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,5,59,EMPLEADA DOMESTICA,EMPLEADA COMESTICA,Femenino,Sí,3.0,4.0,Religión y peregrinación,Otros,4.0,Por su cuenta,Bus regional,50.0,ZACAPA_RIO HONDO_SANTA CRUZ
1250,18010023,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,5,59,EMPLEADA DOMESTICA,EMPLEADA COMESTICA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1252,18010023,Si,Vacaciones personales,"Sí, es de familiares o amigos",SANTA ROSA_CUILAPA,3.0,7.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,15,65,MAESTRA,JUBILADA,Femenino,Sí,1.0,2.0,Visita a familiares y/o amigos,Casa de amigos o familiares,2.0,Por su cuenta,Vehículo,1250.0,CHIQUIMULA_CHIQUIMULA_CEMENTERIO
1253,18010023,Si,Vacaciones personales,"Sí, es de familiares o amigos",SANTA ROSA_CUILAPA,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,15,65,MAESTRA,JUBILADA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1255,18010023,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,11,35,PERITO CONTADOR,OFICINISTA,Femenino,Sí,1.0,6.0,"Ocio, recreo y/o vacaciones",Hotel o similares,6.0,Paquete turístico,Bus regional,360.0,ZACAPA_RIO HONDO_VALLE DORADO
1256,18010023,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,11,35,PERITO CONTADOR,OFICINISTA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1258,18010012,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,ZACAPA_RIO HONDO_VALLE DORADO,"Ocio, recreo y/o vacaciones",3000.0,4.0,1.0,7,36,PINTOR,PINTOR,Masculino,Sí,3.0,4.0,Visita a familiares y/o amigos,Casa de amigos o familiares,4.0,Por su cuenta,Bus regional,1000.0,GUATEMALA_GUATEMALA_VISITA FAMILIAR
1259,18010012,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,6.0,1.0,ZACAPA_RIO HONDO_VALLE DORADO,"Ocio, recreo y/o vacaciones",3000.0,4.0,1.0,7,36,PINTOR,PINTOR,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1261,18010012,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,0.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,13,50,MAESTRO DE EDUCACION,MAESTRO,Masculino,Sí,3.0,6.0,"Ocio, recreo y/o vacaciones",Hotel o similares,6.0,Por su cuenta,Vehículo,3300.0,SACATEPEQUEZ_ANTIGUA_ANTIGUA
1262,18010012,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,13,50,MAESTRO DE EDUCACION,MAESTRO,Masculino,Sí,2.0,6.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,6.0,Por su cuenta,Vehículo,2600.0,QUETZALTENANGO_QUETZALTENANGO_CENTRO HISTORICO
1263,18010012,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,13,50,MAESTRO DE EDUCACION,MAESTRO,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1264,18010012,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,7.0,2.0,IZABAL_MORALES_PISCINAS,Visita a familiares y amigos,600.0,7.0,1.0,17,70,MAESTRA,DIRECTORA DE ESCUELA,Femenino,Sí,2.0,7.0,Religión y peregrinación,Casa de amigos o familiares,7.0,Por su cuenta,Vehículo,1600.0,CHIQUILULA_ESQUIPULAS_BASILICA
1265,18010012,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,1.0,2.0,IZABAL_MORALES_PISCINAS,Visita a familiares y amigos,600.0,7.0,1.0,17,70,MAESTRA,DIRECTORA DE ESCUELA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1267,18010012,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,14,48,AMA DE CASA,AMA DE CASA,Femenino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Otros,1500.0,IZABAL_LIVINGSTON_TENOMIT
1268,18010012,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,14,48,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1270,18010012,Si,Vacaciones personales,"Sí, es de familiares o amigos",IZABAL_MORALES,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,16,60,PROFESOR DE ENSE!ANZA MEDIA,JUBILADO,Masculino,Sí,2.0,4.0,Visita a familiares y/o amigos,Hotel o similares,4.0,Reserva individual,Vehículo,3960.0,GUATEMALA_ANTIGUA GUATEMALA_PARQUE CENTRAL
1271,18010012,Si,Vacaciones personales,"Sí, es de familiares o amigos",IZABAL_MORALES,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,16,60,PROFESOR DE ENSE!ANZA MEDIA,JUBILADO,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1273,18010012,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,19,59,SECRETARIA TECNICO OFICINISTA,SECRETARIA,Femenino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,5.0,Por su cuenta,Vehículo,2100.0,PETEN_FLORES_ISLA FLORES
1274,18010012,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,19,59,SECRETARIA TECNICO OFICINISTA,SECRETARIA,Femenino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Hotel o similares,5.0,Por su cuenta,Vehículo,1500.0,IZABAL_LIVINGSTON_RIO DULCE
1275,18010012,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,19,59,SECRETARIA TECNICO OFICINISTA,SECRETARIA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1276,18010012,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,IZABAL_AMATES_PLAYA DORADA,"Ocio, recreo y/o vacaciones",600.0,3.0,1.0,9,26,AMA DE CASA,AMA DE CASA,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,3.0,Por su cuenta,Vehículo,400.0,IZABAL_AMATES_MARISCOS
1277,18010012,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,IZABAL_AMATES_PLAYA DORADA,"Ocio, recreo y/o vacaciones",600.0,3.0,1.0,9,26,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1279,18010012,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,1.0,2.0,IZABAL_LIVINGSTON_CASTILLO DE SAN FELIPE,"Ocio, recreo y/o vacaciones",800.0,12.0,1.0,15,18,BACHILLER EN COMPUTACION,SECRETARIA,Femenino,Sí,4.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,2600.0,PETEN_FLORES_TIKAL
1280,18010012,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,6.0,2.0,IZABAL_LIVINGSTON_CASTILLO DE SAN FELIPE,"Ocio, recreo y/o vacaciones",800.0,12.0,1.0,15,18,BACHILLER EN COMPUTACION,SECRETARIA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1282,17030022,Si,Semana Santa,"Sí, es de familiares o amigos",PETEN_SAN ANDRES,3.0,2.0,4.0,PETEN_SAYAXCHE_VISITAR FAMILIAR,"Ocio, recreo y/o vacaciones",350.0,3.0,2.0,10,20,BACHILLER EN TURISMO ECOLOGICO,ESTUDANTE,Femenino,Sí,3.0,1.0,Tratamientos de salud,Casa de amigos o familiares,1.0,Por su cuenta,Bus regional,920.0,GUATEMALA_GUATEMALA_VISITA MEDICA
1283,17030022,Si,Semana Santa,"Sí, es de familiares o amigos",PETEN_SAN ANDRES,3.0,2.0,4.0,PETEN_SAYAXCHE_VISITAR FAMILIAR,"Ocio, recreo y/o vacaciones",350.0,3.0,2.0,10,20,BACHILLER EN TURISMO ECOLOGICO,ESTUDANTE,Femenino,Sí,1.0,4.0,Viajes de incentivo,Casa de amigos o familiares,4.0,Por su cuenta,Bus regional,2100.0,GUATEMALA_GUATEMALA_AEROPUERTO
1284,17030022,Si,Semana Santa,"Sí, es de familiares o amigos",PETEN_SAN ANDRES,3.0,2.0,4.0,PETEN_SAYAXCHE_VISITAR FAMILIAR,"Ocio, recreo y/o vacaciones",350.0,3.0,2.0,10,20,BACHILLER EN TURISMO ECOLOGICO,ESTUDANTE,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1285,17030022,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,0.0,2.0,PETEN_FLORES_TIKAL,"Ocio, recreo y/o vacaciones",1000.0,6.0,1.0,19,29,MA. INGENIERIA EN TECNOLOGIA,ADMINISTRACION DE REDES. +,Femenino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,1600.0,SACATEPEQUEZ_ANTIGUA_ANTIGUA
1286,17030022,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,4.0,2.0,PETEN_FLORES_TIKAL,"Ocio, recreo y/o vacaciones",1000.0,6.0,1.0,19,29,MA. INGENIERIA EN TECNOLOGIA,ADMINISTRACION DE REDES. +,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1288,17030022,Si,Paseo / excursión,"Sí, es de familiares o amigos",ALTA VERAPAZ_COBAN,3.0,8.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,51,AMA DE CASA,AMA DE CASA,Femenino,Sí,1.0,1.0,Religión y peregrinación,Hotel o similares,1.0,Por su cuenta,Bus turístico,1645.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1289,17030022,Si,Paseo / excursión,"Sí, es de familiares o amigos",ALTA VERAPAZ_COBAN,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,51,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1291,17030022,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,75,AMA DE CASA,OFICIOS DOMESTICOS,Femenino,Sí,2.0,2.0,Tratamientos de salud,Casa de amigos o familiares,2.0,Por su cuenta,Bus regional,4950.0,GUATEMALA_GUATEMALA_VISITA MEDICA
1292,17030022,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,75,AMA DE CASA,OFICIOS DOMESTICOS,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1294,17030022,Si,Vacaciones de medio año,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,9,62,AMA DE CASA,AMA DE CASA,Femenino,Sí,8.0,4.0,Tratamientos de salud,Hotel o similares,3.0,Por su cuenta,Vehículo,8680.0,GUATEMALA_GUATEMALA_ZOOLOGICO
1295,17030022,Si,Vacaciones de medio año,No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,9,62,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1297,17030022,Si,Vacaciones personales,"Sí, es de su propiedad",PETEN_POPTUN,10.0,5.0,2.0,PETEN_POPTUN_FINCA LA CALERA,"Ocio, recreo y/o vacaciones",300.0,7.0,1.0,13,28,TECNICO EN ADMINISTRACION DE EMPRESAS,DESARROLLADOR COMERCIAL,Masculino,Sí,2.0,2.0,"Ocio, recreo y/o vacaciones",Otros,2.0,Por su cuenta,Vehículo,3100.0,ESCUINTLA_SAN JOSE_PUERTO SAN JOSE
1298,17030022,Si,Vacaciones personales,"Sí, es de su propiedad",PETEN_POPTUN,10.0,5.0,2.0,PETEN_POPTUN_FINCA LA CALERA,"Ocio, recreo y/o vacaciones",300.0,7.0,1.0,13,28,TECNICO EN ADMINISTRACION DE EMPRESAS,DESARROLLADOR COMERCIAL,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1300,18040072,Si,Semana Santa,"Sí, es de familiares o amigos",ESCUINTLA_LA DEMOCRACIA,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,15,24,MAESTRO,CAPITAN DE BARCO,Masculino,Sí,2.0,6.0,"Ocio, recreo y/o vacaciones",Hotel o similares,6.0,Por su cuenta,Vehículo,5050.0,PETEN_FLORES_TIKAL
1301,18040072,Si,Semana Santa,"Sí, es de familiares o amigos",ESCUINTLA_LA DEMOCRACIA,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,15,24,MAESTRO,CAPITAN DE BARCO,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1303,18040072,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,17,32,OFICINISTA BACH EN COMPUTACION,OFICINISTA,Masculino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Bus turístico,3100.0,IZABAL_PUERTO BARRIOS_PUERTO
1304,18040072,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,17,32,OFICINISTA BACH EN COMPUTACION,OFICINISTA,Masculino,Sí,3.0,7.0,"Ocio, recreo y/o vacaciones",Hotel o similares,7.0,Por su cuenta,Vehículo,6500.0,"SOLOLÁ_PANAJACHEL_CENTRO HISTORICO, LAGO ATITLAN"
1305,18040072,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,17,32,OFICINISTA BACH EN COMPUTACION,OFICINISTA,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1306,18040072,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,14,37,COMERCIANTE,AMA DE CASA,Femenino,Sí,1.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,No organizó,Vehículo,1300.0,RETALHULEU_SANTA CRUZ MULUA_XOCOMIL
1307,18040072,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,14,37,COMERCIANTE,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1309,17050032,Si,Día de los santos (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,PETEN_FLORES_PETENCITO ZOOLOGICO,"Ocio, recreo y/o vacaciones",2000.0,8.0,1.0,7,52,AMA DE CASA,AMA DE CAA,Femenino,Sí,2.0,7.0,Otros,Casa de amigos o familiares,7.0,Por su cuenta,Vehículo,1250.0,PETEN_SAN LUIS_PUBLO
1310,17050032,Si,Día de los santos (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,PETEN_FLORES_PETENCITO ZOOLOGICO,"Ocio, recreo y/o vacaciones",2000.0,8.0,1.0,7,52,AMA DE CASA,AMA DE CAA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1312,17050032,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,PETEN_FLORES TIKAL_TIKAL,"Ocio, recreo y/o vacaciones",400.0,3.0,1.0,7,36,SECRETARIA,AMA DE CASA,Femenino,Sí,2.0,5.0,Visita a familiares y/o amigos,Casa de amigos o familiares,5.0,Por su cuenta,Bus regional,1800.0,GUATEMALA_VILLA NUEVA_PUEBLO
1313,17050032,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,PETEN_FLORES TIKAL_TIKAL,"Ocio, recreo y/o vacaciones",400.0,3.0,1.0,7,36,SECRETARIA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1315,17050032,Si,Semana Santa,"Sí, es de familiares o amigos",PETEN_NARANJA FRONTERA,3.0,1.0,8.0,PETEN_LAS CRUCES_YAXTURILA,"Ocio, recreo y/o vacaciones",600.0,5.0,2.0,7,20,ESTUDIANTE,ALBA!IL,Masculino,Sí,1.0,2.0,Religión y peregrinación,Otros,67.0,Reserva individual,Vehículo,300.0,PETEN_SAN BENITO_CENTRO COMERCIAL
1316,17050032,Si,Semana Santa,"Sí, es de familiares o amigos",PETEN_NARANJA FRONTERA,3.0,1.0,8.0,PETEN_LAS CRUCES_YAXTURILA,"Ocio, recreo y/o vacaciones",600.0,5.0,2.0,7,20,ESTUDIANTE,ALBA!IL,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1318,17050032,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,8.0,1.0,PETEN_SANTA ANA_COTOC,Otros,500.0,6.0,1.0,12,35,MAESTRO,MAESTRO,Femenino,Sí,1.0,3.0,Visita a familiares y/o amigos,Casa de amigos o familiares,3.0,Por su cuenta,Vehículo,1300.0,GUATEMALA_GUATEMALA_VISITA FAMILIAR
1319,17050032,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,PETEN_SANTA ANA_COTOC,Otros,500.0,6.0,1.0,12,35,MAESTRO,MAESTRO,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1321,17050032,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,6.0,1.0,PETEN_FLORES_TIKAL,"Ocio, recreo y/o vacaciones",300.0,4.0,1.0,6,32,BACHILLER EN COMPUTACION CON ORIETACION COMERCIAL,SECRETARIA,Femenino,Sí,1.0,1.0,Religión y peregrinación,Hotel o similares,1.0,No organizó,Bus turístico,650.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1322,17050032,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,PETEN_FLORES_TIKAL,"Ocio, recreo y/o vacaciones",300.0,4.0,1.0,6,32,BACHILLER EN COMPUTACION CON ORIETACION COMERCIAL,SECRETARIA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1324,17140023,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,0.0,3.0,PETEN_FLORES_TIKAL,"Ocio, recreo y/o vacaciones",0.0,1.0,2.0,5,19,MAESTRA DE EDUCACION INFANTIL,OFICIOS DEL HOGAR,Femenino,Sí,1.0,1.0,"Ocio, recreo y/o vacaciones",Hotel o similares,1.0,Por su cuenta,Vehículo,885.0,PETEN_FLORES_TIKAL
1325,17140023,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,5.0,3.0,PETEN_FLORES_TIKAL,"Ocio, recreo y/o vacaciones",0.0,1.0,2.0,5,19,MAESTRA DE EDUCACION INFANTIL,OFICIOS DEL HOGAR,Femenino,Sí,1.0,1.0,"Ocio, recreo y/o vacaciones",Hotel o similares,1.0,No organizó,Vehículo,0.0,PETEN_FLORES_TIKAL
1326,17140023,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,2.0,3.0,PETEN_FLORES_TIKAL,"Ocio, recreo y/o vacaciones",0.0,1.0,2.0,5,19,MAESTRA DE EDUCACION INFANTIL,OFICIOS DEL HOGAR,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
1327,17140023,Si,Día de la independencia 15 de septiembre,No dispone de segunda vivienda,NINGUNO,3.0,8.0,2.0,PETEN_LAS CRUCES_YAXTUNILA,"Ocio, recreo y/o vacaciones",500.0,7.0,1.0,15,33,LICENCIADA EN PEDAGOGIA Y ADMINISTRACION EDUCATIVOA,MAESTRA,Femenino,Sí,2.0,1.0,"Ocio, recreo y/o vacaciones",Hotel o similares,1.0,Por su cuenta,Bus regional,1260.0,ALTA VERAPAZ_LANQUIN_SEMUC CHAMPEY
1328,17140023,Si,Día de la independencia 15 de septiembre,No dispone de segunda vivienda,NINGUNO,3.0,2.0,2.0,PETEN_LAS CRUCES_YAXTUNILA,"Ocio, recreo y/o vacaciones",500.0,7.0,1.0,15,33,LICENCIADA EN PEDAGOGIA Y ADMINISTRACION EDUCATIVOA,MAESTRA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
